Order,Site,RFID Date,LEFT,RIGHT,RFID number,OLD RFID,Sex,Age_TOIC,Notes,Breeding 2018,Breeding 2017,Breeding 2016,Breeding 2015,Detected_18_19,Detected_17_18,Detected_16_17,Detected_15_16,Detected_14_15,Detected_April_16,Detected_May_16,Recap_F18_19,Recap F17_18,Recap F16_17,Recap F15_16,Recap F14_15,,,Present_17_18,Present_16_17,Present_15_16,Present_14_15,Nonbreeding_18_19,Breeding_18,Nonbreeding_17_18,Breeding_17,Nonbreeding_16_17,Breeding_16,Nonbreeding_15_16,Breeding_15,Nonbreeding_14_15,Remove_18_19
1,H,41880,Blue,R PT,0700EDD22B,,,,,,,,,N,N,N,N,N,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
2,H,41880,G/S2540-39396,R PT,0700ED9F8E,,M,adult,,,,,BOX 18-2 H,N,N,N,Y,Y,,,,,,,Y - F8H 12/22/14 ,,,0,0,1,1,0,0,0,0,0,0,1,1,1,N
3,H,41880,R PT,,030002D9C7,,,juv,not molting; juve,,,,,N,N,N,Y,Y,,,,,,Y-F4H 11/6/15,Y - F3H 9/5/14; F3H 11/26/14,,,0,0,1,1,0,0,0,0,0,0,1,0,1,N
4,H,41880,R PT,R,0700EDF64A,,M,,,BOX 24-1 H,BOX 21 H,BOX 21 H,BOX 22-1 H,Y,Y,Y,Y,Y,Y-HEAR 3,Y-HEAR 3,,,Y- 12/7/2016 F4H,Y-F3H 8/28/15,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,N
5,H,41880,R PT,Blue,0700EE0597,,,,,,,,,N,N,N,N,N,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
6,H,41880,R/S2720-43450,R PT,0700EDC401,,M,adult,,,,BOX 29-1 H,,N,N,N,Y,Y,,,,,,Y-F4H? 11/6,,,,0,0,1,1,0,0,0,0,0,1,1,0,1,N
7,H,41880,S2720-43464,R PT,0700EDDDC8,,,adult,,,,,,N,N,N,N,N,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
8,H,41880,Y/S2720-43447,R PT,030001CC84,,M,adult,molting primaries; secondaries; Detected at LOW and HIGH F2014/W15,,BOX 1-1 H; BOX B2 H,BOX 1 H,BOX B2 H,N,N,Y,Y,Y,Y-HEAR 1,Y-HEAR 1,,,,Y-F1H 9/7/2015,,,,0,1,1,1,0,0,0,1,1,1,1,1,1,N
9,H,41880,,R PT,0700EDAFE3,,,,,,,,,N,N,N,N,N,,,,,,,Y - F1H 9/5/14,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
10,H,41887,Black,R PT,0700EDE474,,,adult,adult,,,,,N,N,N,N,Y,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,N
